Mo DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q14
Tc SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q15
Tc DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q15
Ru SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q16
Ru DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q16
Rh SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q17
Rh DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q17
Pd SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q18
Pd DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q18
Ag SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q11
Ag DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q11
Cd SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q12
Cd DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q12
In SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q13
In DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q13
Sn SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q4
Sn DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q4
Sb SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q5
Sb DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q5
Te SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q6
Te DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q6
I  SZV-MOLOPT-SR-GTH  SZV-MOLOPT-SR-GTH-q7
I  DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q7
Xe SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q8
Xe DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q8
Cs SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q9
Cs DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q9
Ba SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q10
Ba DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q10
Hf SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q12
Hf DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q12
Ta SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q13
Ta DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q13
W  SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q14
W  DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q14
Re SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q15
Re DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q15
Os SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q16
Os DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q16
Ir SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q17
Ir DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q17
Pt SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q18
Pt DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q18
Au SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q11
Au DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q11
Hg SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q12
Hg DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q12
Tl SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q13
Tl DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q13
Pb SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q4
Pb DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q4
Bi SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q5
Bi DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q5
Po SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q6
Po DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q6
At SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q7
At DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q7
Rn SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q8
Rn DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q8
